primary_genre,classifier,paired_rolling_endpoints,mean_absolute_difference,max_absolute_difference,mean_signed_difference,equal_weight_endpoint_change,rank_weighted_endpoint_change
Gospel / Christian,emotion_fear,0,,,,,
Gospel / Christian,emotion_gratitude,0,,,,,
Gospel / Christian,emotion_grief,0,,,,,
Gospel / Christian,emotion_joy,0,,,,,
Gospel / Christian,emotion_love,0,,,,,
Gospel / Christian,emotion_nervousness,0,,,,,
Gospel / Christian,emotion_neutral,0,,,,,
Gospel / Christian,emotion_optimism,0,,,,,
Gospel / Christian,emotion_pride,0,,,,,
Gospel / Christian,emotion_realization,0,,,,,
Gospel / Christian,emotion_relief,0,,,,,
Gospel / Christian,emotion_remorse,0,,,,,
Gospel / Christian,emotion_sadness,0,,,,,
Gospel / Christian,emotion_surprise,0,,,,,
Gospel / Christian,ll_explicit_language,0,,,,,
Gospel / Christian,ll_sexual_content,0,,,,,
Gospel / Christian,ll_substance_use,0,,,,,
Gospel / Christian,ll_violence,0,,,,,
Gospel / Christian,sentiment_negative,0,,,,,
Gospel / Christian,sentiment_neutral,0,,,,,
Gospel / Christian,sentiment_positive,0,,,,,
Hip-Hop / Rap,detox_identity_attack,406,0.01004271099,0.03949834657,-0.007565396308,0.1723749162,0.195449307
Hip-Hop / Rap,detox_insult,406,0.0165274932,0.05741688366,-0.01259074535,0.319164607,0.3515706916
Hip-Hop / Rap,detox_obscene,406,0.02434814303,0.07236235394,-0.01953889597,0.5547191219,0.57871396
Hip-Hop / Rap,detox_severe_toxicity,406,0.003311111203,0.01598097154,-0.002136201404,0.06097110233,0.07252524578
Hip-Hop / Rap,detox_sexual_explicit,406,0.008450649974,0.03415237638,-0.002428524942,0.07359989494,0.1026997186
Hip-Hop / Rap,detox_threat,406,0.001048111951,0.007191355966,-0.0001383486452,-0.0004290988116,0.002402467855
Hip-Hop / Rap,detox_toxicity,406,0.02275974359,0.07486426435,-0.01872779906,0.5187065879,0.550945289
Hip-Hop / Rap,emotion_admiration,406,0.002471653289,0.01166470811,0.0006983706922,-0.03869943734,-0.05076753068
Hip-Hop / Rap,emotion_amusement,406,0.003831523734,0.02003111411,0.0007366952839,0.01992312024,0.02019259702
Hip-Hop / Rap,emotion_anger,406,0.004654937589,0.0206981232,-0.002906868579,0.06328440997,0.0683988188
Hip-Hop / Rap,emotion_annoyance,406,0.005203434437,0.01693360884,-0.003585494229,0.08436185819,0.08781252146
Hip-Hop / Rap,emotion_approval,406,0.002628579683,0.008288328405,0.0007445021713,-0.04019056375,-0.04362960539
Hip-Hop / Rap,emotion_caring,406,0.001733048111,0.01040024123,0.0006024599791,-0.01388638046,-0.006774251199
Hip-Hop / Rap,emotion_confusion,406,0.002281469772,0.01984464503,0.000983487664,0.01198665699,0.01233000729
Hip-Hop / Rap,emotion_curiosity,406,0.002354541566,0.009040431407,0.0006058065883,0.00625074776,-0.0002403794438
Hip-Hop / Rap,emotion_desire,406,0.003236365475,0.01821024698,0.001060344862,0.00312923525,-0.00496025055
Hip-Hop / Rap,emotion_disappointment,406,0.002841610813,0.01584736346,0.001292457145,-0.002879239321,-0.00284020958
Hip-Hop / Rap,emotion_disapproval,406,0.001092568399,0.004311136219,6.852332899e-06,-0.0005439785593,-0.001248938617
