primary_genre,classifier,possible_months,months_genre_absent,months_present_without_scores,months_below_minimum,months_below_minimum_pct,months_present_below_minimum,present_months_failure_pct,sufficient_months,valid_rolling_endpoints,individual_plot_generated
Pop,detox_obscene,818,0,0,0,0,0,0,818,807,True
Pop,detox_severe_toxicity,818,0,0,0,0,0,0,818,807,True
Pop,detox_sexual_explicit,818,0,0,0,0,0,0,818,807,True
Pop,detox_threat,818,0,0,0,0,0,0,818,807,True
Pop,detox_toxicity,818,0,0,0,0,0,0,818,807,True
Pop,emotion_admiration,818,0,0,0,0,0,0,818,807,True
Pop,emotion_amusement,818,0,0,0,0,0,0,818,807,True
Pop,emotion_anger,818,0,0,0,0,0,0,818,807,True
Pop,emotion_annoyance,818,0,0,0,0,0,0,818,807,True
Pop,emotion_approval,818,0,0,0,0,0,0,818,807,True
Pop,emotion_caring,818,0,0,0,0,0,0,818,807,True
Pop,emotion_confusion,818,0,0,0,0,0,0,818,807,True
Pop,emotion_curiosity,818,0,0,0,0,0,0,818,807,True
Pop,emotion_desire,818,0,0,0,0,0,0,818,807,True
Pop,emotion_disappointment,818,0,0,0,0,0,0,818,807,True
Pop,emotion_disapproval,818,0,0,0,0,0,0,818,807,True
Pop,emotion_disgust,818,0,0,0,0,0,0,818,807,True
Pop,emotion_embarrassment,818,0,0,0,0,0,0,818,807,True
Pop,emotion_excitement,818,0,0,0,0,0,0,818,807,True
Pop,emotion_fear,818,0,0,0,0,0,0,818,807,True
Pop,emotion_gratitude,818,0,0,0,0,0,0,818,807,True
Pop,emotion_grief,818,0,0,0,0,0,0,818,807,True
Pop,emotion_joy,818,0,0,0,0,0,0,818,807,True
Pop,emotion_love,818,0,0,0,0,0,0,818,807,True
Pop,emotion_nervousness,818,0,0,0,0,0,0,818,807,True
Pop,emotion_neutral,818,0,0,0,0,0,0,818,807,True
Pop,emotion_optimism,818,0,0,0,0,0,0,818,807,True
Pop,emotion_pride,818,0,0,0,0,0,0,818,807,True
Pop,emotion_realization,818,0,0,0,0,0,0,818,807,True
Pop,emotion_relief,818,0,0,0,0,0,0,818,807,True
Pop,emotion_remorse,818,0,0,0,0,0,0,818,807,True
Pop,emotion_sadness,818,0,0,0,0,0,0,818,807,True
Pop,emotion_surprise,818,0,0,0,0,0,0,818,807,True
Pop,ll_explicit_language,818,0,0,0,0,0,0,818,807,True
Pop,ll_sexual_content,818,0,0,0,0,0,0,818,807,True
Pop,ll_substance_use,818,0,0,0,0,0,0,818,807,True
Pop,ll_violence,818,0,0,0,0,0,0,818,807,True
Pop,sentiment_negative,818,0,0,0,0,0,0,818,807,True
Pop,sentiment_neutral,818,0,0,0,0,0,0,818,807,True
Pop,sentiment_positive,818,0,0,0,0,0,0,818,807,True
R&B / Soul,detox_identity_attack,818,0,2,42,5.134474328,42,5.134474328,776,658,True
R&B / Soul,detox_insult,818,0,2,42,5.134474328,42,5.134474328,776,658,True
R&B / Soul,detox_obscene,818,0,2,42,5.134474328,42,5.134474328,776,658,True
R&B / Soul,detox_severe_toxicity,818,0,2,42,5.134474328,42,5.134474328,776,658,True
R&B / Soul,detox_sexual_explicit,818,0,2,42,5.134474328,42,5.134474328,776,658,True
R&B / Soul,detox_threat,818,0,2,42,5.134474328,42,5.134474328,776,658,True
R&B / Soul,detox_toxicity,818,0,2,42,5.134474328,42,5.134474328,776,658,True
R&B / Soul,emotion_admiration,818,0,2,42,5.134474328,42,5.134474328,776,658,True
