primary_genre,classifier,valid_rolling_endpoints,earliest_month,earliest_mean,earliest_window_n,earliest_min_monthly_n,latest_month,latest_mean,latest_window_n,latest_min_monthly_n,minimum_month,minimum_mean,minimum_window_n,minimum_min_monthly_n,maximum_month,maximum_mean,maximum_window_n,maximum_min_monthly_n,latest_minus_earliest,rolling_range
Country,detox_toxicity,355,1960-11,0.03800767332,93,6,2026-09,0.1005206295,255,15,2003-02,0.02892035801,211,14,2024-05,0.2616939939,260,14,0.06251295617,0.2327736359
Country,emotion_admiration,355,1960-11,0.006419783935,93,6,2026-09,0.01018475469,255,15,1960-12,0.006389823372,91,5,2003-12,0.07738976278,199,12,0.003764970757,0.0709999394
Country,emotion_amusement,355,1960-11,0.003855986055,93,6,2026-09,0.01559280433,255,15,1982-02,0.00254737596,103,6,2011-03,0.05293927262,260,19,0.01173681828,0.05039189666
Country,emotion_anger,355,1960-11,0.01284644374,93,6,2026-09,0.02273175095,255,15,2004-04,0.004057814927,197,13,2023-11,0.03453344365,286,14,0.009885307207,0.03047562872
Country,emotion_annoyance,355,1960-11,0.02281701168,93,6,2026-09,0.06363110657,255,15,1981-04,0.01596596383,95,6,2025-05,0.1114632883,282,13,0.04081409489,0.09549732452
Country,emotion_approval,355,1960-11,0.0251895133,93,6,2026-09,0.05172189497,255,15,1960-12,0.02500736892,91,5,2004-05,0.09977297496,197,13,0.02653238167,0.07476560604
Country,emotion_caring,355,1960-11,0.03382547205,93,6,2026-09,0.01686745145,255,15,2025-04,0.008107363116,258,13,1975-08,0.07303814103,108,6,-0.0169580206,0.06493077791
Country,emotion_confusion,355,1960-11,0.02046751889,93,6,2026-09,0.02904362531,255,15,2004-10,0.006794165227,197,13,2026-01,0.05558596105,281,13,0.008576106421,0.04879179582
Country,emotion_curiosity,355,1960-11,0.05050048338,93,6,2026-09,0.03363964153,255,15,2004-10,0.008632696245,197,13,1998-09,0.07490926682,111,6,-0.01686084185,0.06627657058
Country,emotion_desire,355,1960-11,0.0796392636,93,6,2026-09,0.07142443453,255,15,2023-02,0.02624020256,252,15,2001-05,0.1146524046,244,18,-0.008214829068,0.08841220203
Country,emotion_disappointment,355,1960-11,0.09849437026,93,6,2026-09,0.06790737706,255,15,2015-01,0.02326399237,239,15,1960-11,0.09849437026,93,6,-0.03058699319,0.07523037789
Country,emotion_disapproval,355,1960-11,0.01328909646,93,6,2026-09,0.03401917809,255,15,1975-08,0.01156820613,108,6,2023-03,0.04184035425,276,15,0.02073008163,0.03027214813
Country,emotion_disgust,355,1960-11,0.004931168381,93,6,2026-09,0.005003735437,255,15,2015-02,0.002377651248,235,15,2024-02,0.006588669706,283,14,7.256705617e-05,0.004211018458
Country,emotion_embarrassment,355,1960-11,0.00303703646,93,6,2026-09,0.003327757015,255,15,2015-09,0.001384221081,233,15,2009-03,0.01024449075,241,17,0.0002907205547,0.008860269673
Country,emotion_excitement,355,1960-11,0.007875134819,93,6,2026-09,0.01620082241,255,15,1960-11,0.007875134819,93,6,1981-08,0.04429285916,107,6,0.008325687589,0.03641772434
Country,emotion_fear,355,1960-11,0.02415032159,93,6,2026-09,0.006405845196,255,15,2015-07,0.00372914438,241,15,2003-12,0.04903752932,199,12,-0.01774447639,0.04530838494
Country,emotion_gratitude,355,1960-11,0.001081425221,93,6,2026-09,0.0008792687888,255,15,2015-07,0.0006154292937,241,15,2018-06,0.01740777727,192,12,-0.0002021564327,0.01679234798
Country,emotion_grief,355,1960-11,0.007947957535,93,6,2026-09,0.002422101615,255,15,2016-05,0.001021659539,206,13,1960-11,0.007947957535,93,6,-0.005525855919,0.006926297996
Country,emotion_joy,355,1960-11,0.01784529296,93,6,2026-09,0.03196278234,255,15,2024-08,0.01414785206,275,14,1975-11,0.09133202958,108,6,0.01411748937,0.07718417752
